nur	erst	nur = Menge; erst = Zeit (bisher kurz)	только	только (пока)	Ich habe nur zwei Stunden gelernt.	Ich habe erst zwei Stunden gelernt.	Я учу всего два часа.	Я учу только два часа (пока).	Ich habe {{c1::erst}} zwei Stunden gelernt. (noch nicht lange)	contrast::adverbs;contrast::time
noch	noch immer	noch = neutral; noch immer = betont Dauer	ещё	всё ещё	Ich bin noch hier.	Ich bin noch immer hier.	Я ещё здесь.	Я всё ещё здесь.	Ich bin {{c1::noch immer}} hier. (lange Dauer)	contrast::adverbs;contrast::time
offenbar	offensichtlich	offenbar = Vermutung; offensichtlich = klar	по-видимому	очевидно	Er ist offenbar müde.	Er ist offensichtlich müde.	Он, по-видимому, устал.	Он очевидно устал.	Er ist {{c1::offenbar}} müde. (Vermutung)	contrast::adverbs;contrast::certainty
bringen	holen	bringen = hin; holen = holen + zurück	приносить	забирать	Ich bringe dir Wasser.	Ich hole Wasser.	Я приношу тебе воду.	Я иду за водой.	Ich {{c1::hole}} Wasser. (gehen + zurück)	contrast::verbs;contrast::direction
denken	nachdenken	denken = allgemein; nachdenken = reflektieren	думать	размышлять	Ich denke oft.	Ich denke darüber nach.	Я думаю часто.	Я размышляю об этом.	Ich {{c1::denke darüber nach}}. (reflektieren)	contrast::verbs;contrast::cognition
warten	abwarten	warten = warten; abwarten = bewusst warten	ждать	выжидать	Ich warte hier.	Warte ab!	Я жду здесь.	Подожди и увидишь.	Warte {{c1::ab}}! (bewusst warten)	contrast::verbs;contrast::nuance
empfinden	nachempfinden	empfinden = fühlen; nachempfinden = mitfühlen	чувствовать	сопереживать	Ich empfinde Freude.	Ich kann dich nachempfinden.	Я чувствую радость.	Я могу тебя понять.	Ich kann dich {{c1::nachempfinden}}. (mitfühlen)	contrast::verbs;contrast::emotion
leiden an	leiden unter	an = Krankheit; unter = Umstände	страдать от болезни	страдать от обстоятельств	Er leidet an Diabetes.	Er leidet unter Stress.	Он страдает диабетом.	Он страдает от стресса.	Er leidet {{c1::unter}} Stress. (Umstände)	contrast::verbs;contrast::prepositions
wirken	aussehen	wirken = Eindruck; aussehen = visuell	казаться	выглядеть	Er wirkt müde.	Er sieht müde aus.	Он кажется уставшим.	Он выглядит уставшим.	Er {{c1::wirkt}} müde. (Eindruck)	contrast::verbs;contrast::perception
schnell	vorschnell	schnell = neutral; vorschnell = unüberlegt	быстро	поспешно	Er reagiert schnell.	Er reagiert vorschnell.	Он реагирует быстро.	Он реагирует поспешно.	Er reagiert {{c1::vorschnell}}. (zu schnell)	contrast::adverbs;contrast::evaluation
Ansatz	Verlauf	Ansatz = Idee/Start; Verlauf = Entwicklung	подход	ход/развитие	Der Ansatz ist gut.	Der Verlauf war schwierig.	Подход хороший.	Ход был сложным.	Der {{c1::Verlauf}} war schwierig. (Entwicklung)	contrast::nouns;contrast::process
Maßstab	Ausmaß	Maßstab = Kriterium; Ausmaß = Größe	критерий	масштаб	Das ist der Maßstab.	Das Ausmaß ist groß.	Это критерий.	Масштаб большой.	Das {{c1::Ausmaß}} ist groß. (Größe)	contrast::nouns;contrast::abstract
Studie	Forschung	Studie = einzelne Untersuchung; Forschung = Prozess	исследование	научная деятельность	Die Studie zeigt Ergebnisse.	Er arbeitet in der Forschung.	Исследование показывает результаты.	Он работает в науке.	Er arbeitet in der {{c1::Forschung}}. (Prozess)	contrast::nouns;contrast::academic
Beschluss	Schluss	Beschluss = Entscheidung; Schluss = Ende	решение	конец	Der Beschluss wurde gefasst.	Am Schluss war alles klar.	Решение принято.	В конце всё было ясно.	Der {{c1::Beschluss}} wurde gefasst. (Entscheidung)	contrast::nouns;contrast::abstract
Anstieg	Aufstieg	Anstieg = Zahlen steigen; Aufstieg = nach oben	рост	подъём	Ein Anstieg der Preise.	Sein Aufstieg war schnell.	Рост цен.	Его подъём был быстрым.	Ein {{c1::Anstieg}} der Preise. (Zahlen)	contrast::nouns;contrast::movement
Verlauf	Vorlauf	Verlauf = während; Vorlauf = davor	ход	подготовка	Der Verlauf war ruhig.	Der Vorlauf war stressig.	Ход был спокойным.	Подготовка была напряжённой.	Der {{c1::Vorlauf}} war stressig. (davor)	contrast::nouns;contrast::time
verweisen auf	sich berufen auf	verweisen = hinweisen; berufen = Argument nutzen	ссылаться	апеллировать	Er verweist auf eine Studie.	Er beruft sich auf das Gesetz.	Он ссылается на исследование.	Он апеллирует к закону.	Er {{c1::beruft sich}} auf das Gesetz. (Argument)	contrast::verbs;contrast::formal
sich beschäftigen mit	sich befassen mit	beschäftigen = aktiv; befassen = theoretisch	заниматься	рассматривать	Ich beschäftige mich mit Deutsch.	Die Studie befasst sich mit dem Thema.	Я занимаюсь немецким.	Исследование рассматривает тему.	Die Studie {{c1::befasst sich}} mit dem Thema. (theoretisch)	contrast::verbs;contrast::style
handeln von	berichten über	handeln = Thema; berichten = Fakten	быть о	сообщать о	Der Film handelt von Liebe.	Die Zeitung berichtet über den Unfall.	Фильм о любви.	Газета сообщает об аварии.	Der Film {{c1::handelt}} von Liebe. (Thema)	contrast::verbs;contrast::content
pochen auf	bestehen auf	pochen = emotional; bestehen = neutral	настаивать (жёстко)	настаивать	Er pocht auf sein Recht.	Er besteht auf sein Recht.	Он жёстко настаивает.	Он настаивает.	Er {{c1::pocht}} auf sein Recht. (emotional)	contrast::verbs;contrast::tone
stabil	tragfähig	stabil = fest; tragfähig = funktioniert	стабильный	жизнеспособный	Der Tisch ist stabil.	Die Lösung ist tragfähig.	Стол устойчив.	Решение жизнеспособно.	Die Lösung ist {{c1::tragfähig}}. (funktioniert)	contrast::adjectives;contrast::concept
weiterhin	noch	weiterhin = formell; noch = Alltag	по-прежнему	ещё	Die Lage bleibt weiterhin schwierig.	Ich bin noch hier.	Ситуация остаётся сложной.	Я ещё здесь.	Die Lage bleibt {{c1::weiterhin}} schwierig. (formell)	contrast::adverbs;contrast::style
bei	an	bei = Nähe/Kontext; an = Kontakt/Fläche	у/при	на	Ich bin bei dir.	Ich sitze am Tisch.	Я у тебя.	Я сижу за столом.	Ich sitze {{c1::am}} Tisch. (Kontakt)	contrast::prepositions;contrast::basic
auf der Konferenz	während der Konferenz	auf = Event/Teilnahme; während = im Verlauf	на конференции	во время конференции	Ich war auf der Konferenz.	Während der Konferenz wurde das Thema mehrfach erwähnt.	Я был на конференции.	Во время конференции эту тему не раз упоминали.	Ich war {{c1::auf der Konferenz}}. (Event)	contrast::prepositions;contrast::event
während der Wahl	bei der Wahl	während = im Verlauf; bei = Anlass/Teilnahme	во время выборов	на выборах	Während der Wahl gab es Unregelmäßigkeiten.	Bei der Wahl habe ich abgestimmt.	Во время выборов были нарушения.	На выборах я голосовал.	Ich habe {{c1::bei der Wahl}} abgestimmt. (Teilnahme)	contrast::prepositions;contrast::event
am Ende	Ende	am Ende = zeitlich; Ende = Zustand/Resultat	в конце	конец	Am Ende war ich müde.	Das Ende ist nah.	В конце я устал.	Конец близок.	{{c1::Am Ende}} war ich müde. (zeitlich)	contrast::nouns;contrast::time
zusammen	aufeinander	zusammen = gemeinsam; aufeinander = gegenseitig	вместе	друг на друга	Wir arbeiten zusammen.	Sie achten aufeinander.	Мы работаем вместе.	Они заботятся друг о друге.	Wir arbeiten {{c1::zusammen}}. (gemeinsam)	contrast::adverbs;contrast::relation
hintereinander	nebeneinander	hintereinander = in Reihe; nebeneinander = parallel	друг за другом	рядом	Sie stehen hintereinander.	Sie sitzen nebeneinander.	Они стоят друг за другом.	Они сидят рядом.	Sie sitzen {{c1::nebeneinander}}. (parallel)	contrast::adverbs;contrast::space
umgehen mit	handeln mit	umgehen = handhaben; handeln = kaufen/verkaufen	обращаться с	торговать	Er geht gut mit Stress um.	Er handelt mit Autos.	Он хорошо справляется со стрессом.	Он торгует машинами.	Er {{c1::geht}} gut mit Stress {{c1::um}}. (handhaben)	contrast::verbs;contrast::usage
sich hüten vor	vermeiden	hüten = warnend; vermeiden = neutral nicht tun	остерегаться	избегать	Hüte dich vor Fehlern.	Vermeide Stress.	Остерегайся ошибок.	Избегай стресса.	{{c1::Vermeide}} Stress. (neutral)	contrast::verbs;contrast::tone
tauschen gegen	austauschen gegen	tauschen = gegenseitig; austauschen = ersetzen	обменивать	заменять	Ich tausche mein Buch gegen deins.	Ich tausche die Batterie gegen eine neue aus.	Я меняю книгу.	Я заменяю батарейку.	Ich {{c1::tausche}} mein Buch gegen deins. (A↔B)	contrast::verbs;contrast::usage
sich wenden an	sich besinnen auf	wenden = nach außen; besinnen = nach innen	обращаться	возвращаться к (мыслям)	Ich wende mich an einen Anwalt.	Wir besinnen uns auf unsere Werte.	Я обращаюсь к адвокату.	Мы возвращаемся к ценностям.	Ich {{c1::wende mich}} an einen Anwalt. (Kontakt)	contrast::verbs;contrast::direction
folgen	folgern	folgen = sich ergeben; folgern = Schluss ziehen	следовать	делать вывод	Daraus folgt, dass er recht hat.	Ich folgere daraus, dass er recht hat.	Из этого следует, что он прав.	Я делаю вывод, что он прав.	Ich {{c1::folgere}} daraus, dass er recht hat. (Schluss)	contrast::verbs;contrast::logic
stoßen	verstoßen	stoßen = physisch; verstoßen = Regel brechen	толкать	нарушать	Er stößt mich.	Er verstößt gegen das Gesetz.	Он толкает меня.	Он нарушает закон.	Er {{c1::verstößt}} gegen das Gesetz. (Regel)	contrast::verbs;contrast::law
bloß	lediglich	bloß = emotional/umgangssprachlich; lediglich = neutral/formell	только	лишь	Das ist bloß eine Ausrede.	Das ist lediglich eine Ausrede.	Это всего лишь отговорка.	Это лишь отговорка.	Das ist {{c1::lediglich}} eine Ausrede. (formell)	contrast::adverbs;contrast::style
verwandeln (sich)	(sich) entwickeln	verwandeln = plötzlich/komplett; entwickeln = langsam	превращаться	развиваться	Die Raupe verwandelt sich in einen Schmetterling.	Er entwickelt sich gut.	Гусеница превращается в бабочку.	Он хорошо развивается.	Er {{c1::entwickelt sich}} gut. (langsam)	contrast::verbs;contrast::process
offenbar	anscheinend	offenbar = Indizien; anscheinend = Eindruck	по-видимому	кажется	Er ist offenbar krank.	Er ist anscheinend krank.	Он, по-видимому, болен.	Он, кажется, болен.	Er ist {{c1::anscheinend}} krank. (Eindruck)	contrast::adverbs;contrast::certainty
seit Langem	längst	seit Langem = Dauer; längst = schon passiert	уже давно	давно уже	Ich warte seit Langem.	Er ist längst gegangen.	Я давно жду.	Он давно ушёл.	Er ist {{c1::längst}} gegangen. (schon)	contrast::adverbs;contrast::time
weiterhin	nach wie vor	weiterhin = fortlaufend; nach wie vor = formell gleich	по-прежнему	по-прежнему	Die Lage bleibt weiterhin schwierig.	Die Lage bleibt nach wie vor schwierig.	Ситуация остаётся сложной.	Ситуация по-прежнему сложная.	Die Lage bleibt {{c1::nach wie vor}} schwierig. (formell)	contrast::adverbs;contrast::style
Meer	See	Meer = großes Salzwasser; See = Binnengewässer	море	озеро	Wir fahren ans Meer.	Wir fahren an den See.	Мы едем к морю.	Мы едем к озеру.	Wir fahren {{c1::ans Meer}}. (groß)	contrast::nouns;contrast::nature
beginnen	anfangen	beginnen = formell; anfangen = Alltag	начинать	начинать	Der Kurs beginnt um 9.	Ich fange jetzt an.	Курс начинается в 9.	Я начинаю сейчас.	Ich {{c1::fange}} jetzt {{c1::an}}. (Alltag)	contrast::verbs;contrast::style
schätzen	einschätzen	schätzen = ungefähr; einschätzen = beurteilen	оценивать приблизительно	оценивать	Ich schätze den Preis.	Ich schätze die Lage ein.	Я примерно оцениваю цену.	Я оцениваю ситуацию.	Ich {{c1::schätze}} den Preis. (ungefähr)	contrast::verbs;contrast::cognition
frei	verfügbar	frei = nicht besetzt; verfügbar = allgemein nutzbar	свободен	доступен	Der Platz ist frei.	Das Produkt ist verfügbar.	Место свободно.	Товар доступен.	Der Platz ist {{c1::frei}}. (nicht besetzt)	contrast::adjectives;contrast::availability
offen	geöffnet	offen = Zustand; geöffnet = Ergebnis einer Handlung	открыт	открыт (кем-то)	Die Tür ist offen.	Die Tür ist geöffnet.	Дверь открыта.	Дверь открыта (кем-то).	Die Tür ist {{c1::geöffnet}}. (Ergebnis)	contrast::adjectives;contrast::state
Kiste	Kasten	Kiste = meist Holz/umgangssprachlich; Kasten = neutral/technisch	ящик, короб	короб, корпус	Die Kiste ist schwer.	Der Kasten ist aus Metall.	Этот ящик тяжёлый.	Этот металлический короб.	Der {{c1::Kasten}} ist aus Metall. (technisch)	contrast::nouns;contrast::style
Kunststoff	Plastik	Kunststoff = technisch; Plastik = Alltag	пластик (тех.)	пластик	Das Teil ist aus Kunststoff.	Das ist aus Plastik.	Деталь из пластика.	Это из пластика.	Das ist aus {{c1::Kunststoff}}. (technisch)	contrast::nouns;contrast::style
häufig	oft	häufig = etwas formeller; oft = Alltag	часто	часто	Das kommt häufig vor.	Ich gehe oft spazieren.	Это часто случается.	Я часто гуляю.	Das kommt {{c1::häufig}} vor. (formell)	contrast::adverbs;contrast::style
Gefühl	Gespür	Gefühl = Emotion; Gespür = Intuition	чувство	интуиция	Ich habe ein gutes Gefühl.	Er hat ein Gespür dafür.	У меня хорошее чувство.	У него есть чутьё.	Er hat ein {{c1::Gespür}} dafür. (Intuition)	contrast::nouns;contrast::cognition
passen	sich eignen	passen = praktisch passen; sich eignen = geeignet sein	подходить	подходить (формально)	Das passt gut.	Das eignet sich dafür.	Это подходит.	Это подходит для этого.	Das {{c1::eignet sich}} dafür. (geeignet)	contrast::verbs;contrast::usage
beginnen	losgehen	beginnen = neutral; losgehen = start mit Bewegung/Emotion	начинать	начинаться (динамично)	Das Konzert beginnt.	Jetzt geht’s los!	Концерт начинается.	Ну всё, поехали!	Jetzt {{c1::geht’s}} los! (Start)	contrast::verbs;contrast::tone
sich beteiligen an	teilnehmen an	beteiligen = aktiv mitwirken; teilnehmen = dabei sein	участвовать активно	участвовать	Er beteiligt sich am Projekt.	Er nimmt am Kurs teil.	Он активно участвует в проекте.	Он участвует в курсе.	Er {{c1::beteiligt sich}} am Projekt. (aktiv)	contrast::verbs;contrast::participation
verbinden	anknüpfen	verbinden = allgemein verbinden; anknüpfen = gezielt anschließen	соединять	связывать (к чему-то)	Wir verbinden die Teile.	Ich knüpfe daran an.	Мы соединяем части.	Я к этому возвращаюсь.	Ich {{c1::knüpfe}} daran {{c1::an}}. (anschließen)	contrast::verbs;contrast::abstract
aufkommen für	bezahlen für	aufkommen = Kosten tragen (Verantwortung); bezahlen = zahlen	покрывать расходы	платить	Er kommt für die Kosten auf.	Ich bezahle das.	Он покрывает расходы.	Я плачу.	Er {{c1::kommt}} für die Kosten {{c1::auf}}. (Verantwortung)	contrast::verbs;contrast::finance
verharren	bleiben	verharren = bewusst bleiben (oft negativ); bleiben = neutral	пребывать	оставаться	Er verharrt in seiner Meinung.	Er bleibt hier.	Он упорно остаётся при мнении.	Он остаётся здесь.	Er {{c1::verharrt}} in seiner Meinung. (starr)	contrast::verbs;contrast::nuance
beginnen	starten	beginnen = allgemein; starten = technisch/aktiv beginnen	начинать	запускать	Der Kurs beginnt.	Wir starten das Projekt.	Курс начинается.	Мы запускаем проект.	Wir {{c1::starten}} das Projekt. (aktiv)	contrast::verbs;contrast::usage
Meer	Ozean	Meer = allgemein; Ozean = sehr groß	море	океан	Wir fahren ans Meer.	Der Ozean ist tief.	Мы едем к морю.	Океан глубокий.	Der {{c1::Ozean}} ist tief. (sehr groß)	contrast::nouns;contrast::nature
Schmerz	schmerzlich	Schmerz = Substantiv; schmerzlich = adjektivisch/intensiv	боль	болезненный	Der Schmerz ist stark.	Das ist eine schmerzliche Erfahrung.	Боль сильная.	Это болезненный опыт.	Das ist eine {{c1::schmerzliche}} Erfahrung. (Adj.)	contrast::noun_vs_adj
